"filename", "language", "Python", "Markdown", "HTML", "Ini", "CSS", "comment", "blank", "total"
"c:\Users\Everton\Desktop\SolucionarUrb\README.md", "Markdown", 0, 40, 0, 0, 0, 0, 15, 55
"c:\Users\Everton\Desktop\SolucionarUrb\app\__init__.py", "Python", 11, 0, 0, 0, 0, 10, 25, 46
"c:\Users\Everton\Desktop\SolucionarUrb\app\formularios.py", "Python", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Everton\Desktop\SolucionarUrb\app\models.py", "Python", 7, 0, 0, 0, 0, 2, 7, 16
"c:\Users\Everton\Desktop\SolucionarUrb\app\static\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Everton\Desktop\SolucionarUrb\app\templates\Sobre.html", "HTML", 0, 0, 16, 0, 0, 2, 2, 20
"c:\Users\Everton\Desktop\SolucionarUrb\app\templates\cadastro.html", "HTML", 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\Everton\Desktop\SolucionarUrb\app\templates\login.html", "HTML", 0, 0, 41, 0, 0, 4, 4, 49
"c:\Users\Everton\Desktop\SolucionarUrb\app\templates\ocorrencia.html", "HTML", 0, 0, 29, 0, 0, 0, 6, 35
"c:\Users\Everton\Desktop\SolucionarUrb\app\templates\teste.html", "HTML", 0, 0, 36, 0, 0, 0, 4, 40
"c:\Users\Everton\Desktop\SolucionarUrb\app\views.py", "Python", 38, 0, 0, 0, 0, 3, 29, 70
"c:\Users\Everton\Desktop\SolucionarUrb\main.py", "Python", 3, 0, 0, 0, 0, 1, 3, 7
"c:\Users\Everton\Desktop\SolucionarUrb\migrations\alembic.ini", "Ini", 0, 0, 0, 38, 0, 0, 13, 51
"c:\Users\Everton\Desktop\SolucionarUrb\migrations\env.py", "Python", 66, 0, 0, 0, 0, 17, 31, 114
"c:\Users\Everton\Desktop\SolucionarUrb\migrations\versions\e1472c26a36e_novo_tabela.py", "Python", 21, 0, 0, 0, 0, 5, 9, 35
"Total", "-", 154, 40, 143, 38, 0, 44, 156, 575
